Title;Title_cat
TBS Dumbbell Romanian Deadlift;2652
Stiff-Legged Dumbbell Deadlift - Gethin Variation;2596
UNS Dumbbell Romanian Deadlift;2767
Holman Slow Deadlift;1481
Holman Deadlift to Overhead Press;1267
Holman Staggered-Stance Deadlift;1507
Holman Deadlift to Front Raise;1266
Holman Deadlift to Chest Press;1265
Holman Deadlift to Squat Thrust;1268
Holman Deadlift to Biceps Curl;1264
Dumbbell kickstand deadlift;713
Single-leg stiff-legged deadlift to row;2427
FYR2 Dumbbell Deadlift;860
FYR2 Dumbbell Deadlift to Dumbbell Upright Row;861
Atlas Stones;270
Rack Pull - Gethin Variation;2149
Hex Bar Deadlift - Gethin Variation;1187
Holman Deadlift;1263
ACFT Low-handle trap bar deadlift;186
Neutral-grip lat pull-down;1997
Seated cable deadlift;2266
Cable stiff-legged deadlift;506
Single-leg cable stiff-legged deadlift;2413
UNS Banded Dumbbell Romanian Deadlift;2761
HM Downward Dog To Right Leg Extension To Warrior Pose;1040
HM Spine Twist;1131
HM Good Morning;1054
HM Rag Doll;1097
HM Upward-Facing Dog Pose;1147
Superman-;2621
Weighted back extension;2846
MetaBurn Alternating Superman;1908
MetaBurn Swimmer;1961
Mixed Grip Chin;1971
Rhomboids SMR;2185
Spinal Stretch;2496
Upper Back Stretch;2811
Middle Back Stretch;1969
TBS Pull-Up;2661
HM Angel Stretch;1008
UNS Foam Roll Upper Back;2773
30 Back Neutral-Grip Pull-Down;56
30 Back Pull-Up;58
30 Back Reverse-Grip Pull-Up;61
Isometric Neck Exercise - Sides;1666
Isometric Neck Exercise - Front And Back;1665
Neck Bridge Prone;1991
Side Neck Stretch;2306
Neck-SMR;1994
Alien Squat;232
Rocket Jump;2195
All Fours Quad Stretch;233
Rear Leg Raises;2154
Exercise ball rear delt fly;777
Power snatch-;2117
Lying rear delt Y;1853
Partner side plank band row;2059
Band-assisted chin-up;311
Narrow-stance squat;1987
30 Back Band-Assisted Pull-Up;45
30 Back Reverse-Grip Band-Assisted Pull-Up;59
Band bent-over row;291
Heavy band bent-over row;1186
Reverse-grip bent-over row;2179
Barbell forward lunge;362
One-Arm Long Bar Row;2021
Bent Over Barbell Row;414
Pendlay Row;2080
Barbell seal row;375
Barbell hack squat;368
TBS T-Bar Row;2665
TBS Deficit Deadlift;2649
Bent-Over Barbell Row - Gethin Variation;417
Barbell bent-over row;355
UN Barbell Rack Pull;2745
UN Barbell Scrape The Rack;2746
Barbell deadlift bent-over row complex;357
30 Back Barbell Deadlift;46
30 Back Bent-Over Barbell Row;47
30 Back T-Bar Row;69
30 Back Underhand Bent-Over Barbell Row;70
Single-arm side deadlift;2399
Kettlebell alternating renegade row;1707
Alternating Kettlebell Row;243
Kettlebell bent-over row to clean;1708
UP Deficit Kettlebell Stiff-Legged Deadlift;2796
FYR2 Dagger-Grip Double-Kettlebell Gorilla Row;846
FYR2 Double-Kettlebell Swing Clean;853
Single-arm kettlebell row-;2383
FYR2 Ascending-Rep Swing-Squat Complex;839
One-Arm Dumbbell Row;2013
Incline dumbbell row;1656
Man-maker;1880
Dumbbell bent-over row;692
Dumbbell pull-over to skullcrusher;720
Dumbbell Fix Single-Arm Dumbbell Row;665
Dumbbell Fix Bent-Over Dumbbell Row;650
Dumbbell Seal Row - Gethin Variation;682
Decline dumbbell chest fly;608
TBS Bent-Over Dumbbell Row;2646
HM Alternating Bent-Over Quick Row;991
HM Bent-Over Dumbbell Row;1015
AM Single Arm Row;216
Dumbbell stiff-legged deadlift;742
Single-arm bench dumbbell row;2346
UN Bent-Over Dumbbell Row;2747
UN Dumbbell RDL;2750
UN Chest Supported Row;2749
MetaBurn Bent-Over Renegade Row;1910
30 Back Bent-Over Dumbbell Row;48
30 Back Dumbbell Pull-Over;50
30 Back Incline Dumbbell Row;51
30 Back Single-Arm Dumbbell Row;62
30 Back Single-Arm Dumbbell Swing Row;63
T-Bar Row with Handle;2642
T-Bar Row;2641
Alternating sit-through with crunch;255
Seated Cable Rows;2230
Upside-down pull-up;2814
Smith machine inverted row;2467
Lying T-Bar Row;1837
Suspended row;2635
Paul Carter T-Bar Row;2078
Single-Arm Bent-Over Rear Delt Raise - Gethin Variation;2325
30 Back Plate Hyperextension;57
Seated Cable Rows;2230
Single-arm cable seated row;2353
Paul Carter Lat Pull-Down;2073
Single-arm kettlebell overhead squat;2380
TBS Lat Pull-Down;2660
One-Arm Cable Read Delt Fly - Gethin Variation;2011
UP Seated Cable Row;2806
UP Cable Straight-Arm Pull-Down;2792
UN Cable Pull-Through;2748
30 Back Close-Grip Seated Cable Row;49
30 Back Incline Face-Up Cable Pull-Down;52
30 Back Kneeling High Cable Pull-Down;53
30 Back Leaning V-Bar Pull-Down;54
30 Back Reverse-Grip Pull-Down;60
30 Back Standing Low Cable Bar Row;65
30 Back Standing Low Cable Rope Row;66
30 Back Straight-Arm Bar Pull-Down;67
30 Back Straight-Arm Rope Pull-Down;68
30 Back Wide-Grip Behind-The-Head Pull-Down;71
30 Back Wide-Grip Pull-Down;72
30 back Wide-Grip Seated Cable Row;177
Rower;2210
Seated Cable Rows;2230
Smith machine bent-over row;2459
Machine Low Row;1858
Standing lat pull-down;2580
30 Back Machine Seated Row;55
30 Back Smith Machine Push-Up;64
Slide Jump Shot;2443
Star Jump;2588
Lying Prone Quadriceps;1835
Fast Kick With Arm Circles;935
Defensive Slide;617
Vertical Mountain Climber;2819
Reverse Burpee;2163
Football Up-Down;954
Slow Jog;2444
Square Hop;2506
Jumping rope;1689
ACFT Medicine ball overhead power throw;187
Band seated row;304
Barbell shrug;376
Barbell behind-the-back shrug;354
Single-arm inverted row;2376
Kettlebell sumo deadlift high pull;1718
Standing dumbbell shrug;2574
Standing dumbbell upright row;2575
Dumbbell pull-over;719
Standing Dumbbell Shrug - Gethin Variation;2537
Single-arm dumbbell row;2363
Cable straight-bar upright row;509
Cable shrug;505
Smith machine shrug;2473
Leverage Shrug;1800
Smith machine behind-the-back shrug;2455
Smith machine upright row;2478
Machine low row-;1872
Machine Shrug - Gethin Variation;1863
Smith machine single-arm shrug;2474
Forward lunge;957
Side-to-side box skip;2321
Single-leg depth squat;2415
Boss Everline Resistance-Band Pull Sprint;449
Banded jump squat;321
Speed Box Squat;2488
HM Banded Squat Toe Tap;1012
UP Band Abducted Squat;2784
FYR2 Lateral Band Walk;894
FYR2 Banded Squat Hold-Pulse-Jump Complex;843
Band split squat;307
Band front squat;295
Squat hold with band pull-apart;2512
Banded squat toe tap;323
Band overhead squat;299
Quadriceps SMR;2140
Barbell Full Squat;338
Barbell back squat to box;352
Push-press;2134
Barbell walking lunge;386
Barbell Squat;347
Barbell front squat;364
Smith machine box squat;2460
Barbell step-up;382
Barbell Bulgarian split squat;331
Hack Squat;1152
Barbell thruster;384
Push-jerk;2133
Barbell back squat;351
Zercher squat;2873
Barbell side split squat;377
Barbell speed squat;378
Barbell Squat To A Bench;349
Barbell reverse lunge;373
Close-stance dumbbell front squat;560
Barbell front squat to back squat;365
Barbell Front-To-Back Squat;337
Front Squat (Bodybuilder);965
Barbell step-down reverse lunge;381
Paul Carter Back Squat;2063
Paul Carter Barbell Split Squat;2066
TBS High-Bar Back Squat;2657
TBS Barbell Front Squat;2644
Squat - Gethin Variation;2507
Front-To-Back Barbell Squat;969
Barbell Lunge - Gethin Variation;343
Rack Deadlift - Gethin Variation;2147
Barbell Squat - Gethin Variation;348
Barbell Good Morning - Gethin Variation;339
AM Barbell Squat;195
Plyometric Power Clean;2107
Banded Split Jerk;315
UP Squat;2809
UN Barbell Back Squat;2742
UN Barbell Box Squat;2743
UN Barbell Front Squat;2744
KV Bulgarian Split Squat;1691
King Maker Barbell Back Squat;1726
King Maker Barbell Deadlift;1728
30 Legs Barbell Back Squat;117
30 Legs Barbell Front Squat;118
Barbell Back Squats;328
Goblet Squat;979
Kettlebell side squat;1717
Kettlebell sumo squat;1719
Kettlebell thruster progression;1722
Kettlebell power clean;1716
Kettlebell fire feet;1711
Single Arm Overhead Kettlebell Squat;2323
Pulsing goblet squat;2126
Double-kettlebell alternating lunge to clean;632
FYR Goblet Squat;806
FYR Kettlebell Sumo Squat;813
Double-kettlebell front squat;633
FYR Kettlebell Squat Clean;812
Single-arm kettlebell front squat;2379
Kettlebell front rack lunge;1712
HM Turkish Get-Up;1146
HM Single-Leg Romanian Deadlift;1124
Taylor Single-Arm Kettlebell Front Squat;2677
Taylor Kettlebell Goblet Squat;2673
Goblet squat-;981
Holman Kettlebell Squat Clean;1367
Holman Kettlebell Swing;1368
Holman Kettlebell Swing Transfer;1369
Dumbbell goblet squat-;708
Robertson Kettlebell Jump;2192
FYR2 Alternating Kettlebell Squat Clean;835
FYR2 Banded Double-Kettlebell Squat Pulse;840
FYR2 Double-Kettlebell Ballin' Lunge;848
FYR2 Double-Kettlebell Front Rack Lunge;849
FYR2 Double-Kettlebell Front Squat;850
FYR2 Explosive Kettlebell Jump Squat;867
FYR2 Kettlebell Goblet Squat;878
FYR2 Kettlebell Reverse Lunge Switch Grip;884
FYR2 Kettlebell Reverse Lunge to Kneeling Press;885
FYR2 Kettlebell Sumo Squat Pulse;889
FYR2 Reverse Lunge to Single-Leg Kettlebell Deadlift;913
FYR2 Kettlebell Goblet-Squat-Deadlift Complex;879
FYR2 Kettlebell Squat-Press-Deadlift Complex;887
Goblet Squats;980
Dumbbell Goblet Squat;672
Dumbbell squat;739
Dumbbell Lunges;676
Dumbbell reverse lunge;725
Split Squat with Dumbbells;2501
Dumbbell sumo squat;746
Dumbbell seated box jump;729
Dumbbell step-up;741
Dumbbell Walking Lunge;690
Dumbbell thruster;747
Dumbbell front squat;707
Dumbbell lateral hop;714
Dumbbell lunge with biceps curl;716
Dumbbell jump squat;711
Boss Everline Dumbbell Lunge Jump;447
Dumbbell Fix Dumbbell Split Squat;661
Single-leg dumbbell Romanian deadlift;2416
Dumbbell Fix Dumbbell Alternating Reverse Lunge;651
Dumbbell Fix Turkish Get-Up;668
Seesaw lunge;2284
FYR Dumbbell Front Squat;798
Dumbbell split squat;738
Dumbbell deadlift;700
Single-arm stiff-legged deadlift;2402
HM Dumbbell Overhead Squat;1043
HM Dumbbell Squat;1045
UNS Dumbbell Goblet Squat;2766
Single-Arm Dumbbell Snatch;2329
KV Dumbbell Lunges;1693
Holman Squat to Biceps Curl;1504
Holman Burpee to Biceps Curl;1244
Holman Slow Weighted Reverse Lunge;1487
Holman Slow Weighted Plie Squat;1486
Holman Weighted Lunge Jump with Biceps Curl;1590
Holman Left Reverse Lunge Chest Press to Left Knee-Up Chest Press;1391
Holman Weighted Lunge Jump with Chest Press;1591
Holman Weighted Half Jack to Biceps Curl;1581
Holman Weighted Half Jack to Chest Press;1582
Holman 180 Jump to Renegade Side Raise;1208
Holman Right Reverse Lunge Biceps Curl to Right Knee-Up Biceps Curl;1455
Holman Roll-Back to Squat Thrust to Renegade Row;1463
Holman Roll-Back to Squat Thrust to Renegade Triceps Press;1464
Holman Weighted Narrow Squat Jump;1592
Holman Diagonal Deadlift;1269
Holman Weighted Burpee to Triceps Press;1577
Holman Squat Thrust Overhead Press;1499
Holman Weighted Burpee to Chest Press;1570
Holman Squat to Right-Arm Overhead Press;1506
Holman Right Lunge Jump with Right Overhead Press;1452
Holman Left Lunge Jump with Left Overhead Press;1388
Holman Heavy Hip Drive;1345
Holman Squat to Left-Arm Overhead Press;1505
Holman Weighted Lunge Jump to Floor Lunge Jump;1589
Holman Alternating Weighted Lunge Jump to Chest Press;1231
Holman Weighted Burpee to Overhead Alternating Reverse Lunge;1572
Holman Weighted 180 Jump to Chest Press;1566
Holman Alternating Side Squat Overhead Press;1224
Holman Right Lunge with Right Biceps Curl;1453
Holman Left Lunge with Left Biceps Curl;1389
Holman Squat Thrust to Alternating Front Raise;1500
Dumbbell racked reverse lunge;723
Total Fitness Dumbbell Reverse Lunge;2696
Single-arm dumbbell snatch-;2365
Total Fitness Dumbbell Step-Up;2697
Hack Squat - Gethin Variation;1153
Single-arm dumbbell front squat;2360
King Maker Weighted Jump Squat;1742
3D dumbbell lunge;178
MetaBurn Dumbbell Burpee;1915
Dumbbell jump squat with rotation;712
MetaBurn Dumbbell Wide Squat to Rack;1920
MetaBurn Reverse Lunge To High Pull;1943
MetaBurn Reverse Lunge With Overhead Raise;1944
MetaBurn Squat to Triceps Extension;1959
30 Legs Dumbbell Goblet Squat;119
30 Legs Dumbbell Squat;120
Dumbbell step-down reverse lunge;740
Tire flip;2687
Bear crawl sled drag;394
Bicycling;432
Hex-bar deadlift;1188
Weighted sissy squat;2850
Dumbbell step-up;741
Bench skip;413
Sled Push;2438
Barbell squat with plate slide;380
Suspended split squat;2636
Sled Drag - Harness;2435
Burpee over barbell;469
Dumbbell walking lunge-;749
Single-cone sprint drill;2404
Burpee Box-Jumps;467
Scissors Jump;2221
Single-leg knee-tap squat;2420
Plate push;2103
Hybrid deadlift;1615
Boss Everline Suspension Side Run;450
Boss Everline Lunge Sled Push;448
Squat Bottom Position Hold;2508
TRX Squat Jump;2667
Landmine squat;1768
Dumbbell Bulgarian split squat;644
Holman Towel Alternating Prisoner Reverse Lunge;1542
Holman Weighted Burpee to Belly Touch;1568
Holman Weighted Burpee to Front Punch;1571
Holman Weighted Low Squat Punch;1588
Holman Weighted Hook Punch to Squat Thrust;1584
Holman Towel Alternating Side Lunge Squat;1544
Holman Weighted Burpee to Renegade Side Punch;1574
Holman Weighted Reverse Lunge to Knee-Up Overhead Press;1597
Holman Lunge Jump with Overhead Press;1403
Holman Weighted Burpee to Belly Touch to Standing T;1569
Holman Weighted Squat Jump;1601
Holman Weighted Plie Squat;1596
Holman Heels-Elevated Sissy Squat;1352
Holman Squat Jump to Overhead Press;1493
Holman 180 Jump to Overhead Press;1207
Holman Weighted Burpee to Row;1575
Holman Weighted Burpee to 180 Jump;1567
Holman Weighted 180 Jump;1565
Holman Weighted Narrow-Mid-Wide Hop;1593
Holman Alternating Weighted Diagonal Burpee;1230
Holman Towel Burpee to Push-Up;1546
Holman Towel Right Side Squat;1556
ACFT Sprint-drag-carry;188
KV Cable Squat;1692
Single-Leg Press;2336
Stair climber;2520
Leg Press;1786
Elliptical trainer;764
Narrow-stance leg press;1986
Stairmaster;2521
Machine Squat;1864
Smith machine back squat;2454
Leg Extensions;1784
Treadmill running;2716
Stationary bike;2589
Treadmill jogging;2715
Smith machine leg press;2468
Lying Machine Squat;1834
Seated Leg Press;2250
Smith machine pistol squat;2470
Leg press-;1792
TBS Hack Squat;2655
Leg Extensions - Gethin Variation;1785
Seated leg press-;2275
Smith machine front squat;2465
Machine Deadlift - Gethin Variation;1856
Single-leg hack squat;2418
Narrow-stance hack squat;1985
Alternating Single-Leg Curl - Gethin Variation;245
Stiff-Legged Deadlift - Gethin Variation;2594
Single-Leg Press - Gethin Variation;2337
Hack squat-;1155
Smith machine lunge squat;2469
Leg Press - Gethin Variation;1787
AM Leg Press;210
Single-Leg Squat With Knee Tap;2338
Leg extension;1790
Squat Isometric Hold;2509
UP Quad Extension;2804
UP Single-Leg Press;2808
UP Leg Press;2802
Pop Squat On Leg Press;2108
King Maker Leg Press;1738
Single-leg leg press;2422
King Maker Hack Squat;1735
30 Legs Feet-High Leg Press;122
30 Legs Leg Press;126
30 Legs Leg Press Calf Raise;127
30 Legs Lying Leg Curl;128
30 Legs Machine Hack Squat;129
30 Legs Single-Leg Leg Extension;132
30 Legs Single-Leg Leg Press;133
30 Legs Single-Leg Lying Leg Curl;134
30 Legs Smith Machine Split Squat;135
30 Legs Smith Machine Squat;136
Bodyweight squat;442
Broad jump;464
Burpee;466
Trail Running/Walking;2711
Jumping jack-;1687
Arms-crossed jump squat;262
Bodyweight Reverse Lunge;437
Treadmill walking;2717
Depth jump box jump;618
Bodyweight Walking Lunge;440
Walking High Knees;2826
Lateral lunge;1780
Jump Squat;1682
Over bench jump;2027
Split Jump;2499
90-degree jump squat;180
Skip;2433
Kneeling hip flexor stretch;1760
Iron Crosses (stretch);1662
Lying quad stretch with band;1852
One Half Locust;2007
Standing Hip Flexors;2546
Looking At Ceiling;1808
On Your Side Quad Stretch;2000
On-Your-Back Quad Stretch;2001
Standing Elevated Quad Stretch;2541
Thigh killa;2684
Southpaw sprawl;2486
Stride Jump Crossover;2610
Side Standing Long Jump;2307
Wall squat;2836
Sprawl frog kick;2504
Lateral Speed Step;1774
Side Hop-Sprint;2300
Pop squat;2109
Side Lunge Touching Heel;2304
Single-leg box squat;2410
Quick Leap;2141
Jump lunge heel kick;1683
Burpee box jump;468
Linear Depth Jump;1805
High knees;1192
Jumping Jack;1686
Running lunge;2211
In-out jump squat;1620
Gorilla squat;986
Burpee tuck jump;472
Speed skater;2489
Jumping knee up-down;1688
Jump Lunge To Feet Jack;1681
Reverse Lunge Rotation;2169
Alternating standing knee-pull stretch;258
Seal jack;2222
Kneeling quad thoracic stretch;1762
Shuttle run;2297
Wall sit;2834
Walking lunge with hip extension;2828
Squat with alternating side leg raise;2515
Lateral Squats;1775
Walking lunge with twist;2829
Boss Everline Backward Lunge Walk;446
Reverse Diagonal Skaters;2165
FYR Air Squat;786
FYR Tuck Jump;830
Push-up sprawl tuck jump;2136
FYR Running Lunge;822
FYR Jumping Lunge;810
FYR Sprawl Frog Kick;826
Jump squat-;1684
FYR Sprinter Burpee;827
Single-leg burpee;2411
FYR Gorilla Squat;807
Banded compass jump squat;317
In-out sprawl;1621
Knee-tuck kick-up;1752
Bear crawl donkey kick;389
Southpaw sprawl with push-up;2487
Bouncing lunge;456
Bodyweight Squat - Gethin Variation;438
FYR Alternating Lunge;787
Bodyweight Walking Lunge - Gethin Variation;441
Seated Quad Contraction;2255
HM Squat with Alternating Leg Extension;1134
HM Air Squat;990
HM Alternating Jump Lunge;996
HM Alternating Lunge-In-Place;999
HM Alternating Side Lunge;1001
HM Sumo Pulse;1137
HM Sumo Squat;1138
HM Alternating Side-Kick;1003
HM Tuck-Up Burpee;1144
HM Bear Crawl;1013
HM Bear Stance Fire Hydrant;1014
HM Walking Frankenstein;1148
HM Walking Hip Stretch;1149
HM Wide Jump Squat;1150
HM Boxer Shuffle;1021
HM Running Lunge;1110
HM Bulgarian Split Squat On Chair;1023
HM Burpee;1024
HM Butterfly;1026
HM Alternating Lunge Push-Up;997
HM Comet;1031
HM Couch Stretch;1032
HM Down Up;1038
HM Duck Walk;1042
HM Fragon;1050
HM Frankenstein;1051
HM Single-Leg Squat on Chair;1125
HM Single-Leg Touchdown;1126
HM Speed Skater;1130
HM Squat Jump;1132
HM Squat Lunge;1133
HM Garland Pose;1053
HM High Knees;1058
HM In-And-Out Squat;1061
HM In-And-Out Squat Jump;1062
HM Jumping Jack;1066
HM Jumping Knee-Up;1067
HM Jumping Rope;1068
HM Right Calf-Spike Sumo Pulse;1101
HM Reverse Lunge with Kick;1100
HM Left Knee-Up;1076
HM Left-Leg Lunge And Kick-Out;1083
HM Mountain Pose;1089
HM Butt Kickers;1025
HM Right-Leg Lunge And Kick-Out;1109
HM Sumo Get-Up;1136
AM Jump Squat;208
AM Bodyweight Squat;196
High knees sprawl drill;1193
UP Bulgarian Split Squat;2787
UN Forward Lunge;2751
UN Front Foot Elevated Split Squat;2752
UNS Half-Kneeling Hip Flexor Stretch;2775
UNS Low Depth Jump;2779
UNS Forward-To-Reverse Lunge;2774
Holman Towel Squat Thrust;1557
Holman Towel Alternating Prisoner Squat;1543
Holman Towel Alternating Lateral Lunge;1541
Holman Squat Pull-Through Jump;1494
Holman 180 Jump;1204
Holman Foot-Elevated Knee-Up to Squat;1319
Holman Feet-Elevated Squat Thrust;1310
Holman Hands-Elevated Lunge Jump;1338
Holman Hands-Elevated Jack to Split Jump;1337
Holman Hands-Elevated Wide Squat Thrust;1342
Holman Hands-Elevated Squat Thrust to Split Jack;1340
Holman Squat Jump;1490
Holman Squat Pulse;1495
Holman Jump-Out Push-Up;1365
Holman Alternating Forward Lunge;1216
Holman Burpee to Jump;1249
Holman Pilates Single-Leg Stretch;1411
Holman Alternating Reverse Prisoner Lunge;1222
Holman Narrow-Wide Squat Jump to 180 Jump;1406
Holman 180 Jump to Lunge;1206
Holman Imaginary Jump Rope;1362
Holman Fast Feet with Hands Up;1295
Holman Hands-Elevated Alternating Lunge Jump;1334
Holman Right Split Lunge;1460
Holman Left Split Lunge;1396
Holman Plyometric Jump;1421
Holman Quad Touch Jump;1427
Holman Skate;1478
Holman Lunge Jump;1401
Holman Flying Squat Thrust;1316
Holman 90-Degree Jump;1209
Holman Half Jack to 180 Jump;1329
Holman Quick Feet to Quad Touch Jump;1428
Holman Squat Thrust to Push-Up to Super Woman;1503
Holman Plyometric Jump to 180 Jump;1422
Holman Standing Heel Click to Hands Down Heel Click;1514
Holman Burpee to 180 Jump;1243
Holman Traveling Low Jack to Belly Touch;1563
Holman Flying Squat Thrust to Shoulder Tap;1318
Holman Squat Jump to Alternating Side Lunge Jump;1491
Holman Low Squat with Low Diagonal Dumbbell Punch;1399
Holman Right Leg Hop to Right Reverse Lunge;1450
Holman Left Leg Hop to Left Reverse Lunge;1386
Holman Burpee to Open Stance;1250
Holman Diagonal Squat Thrust to Renegade Forward Punch;1271
Holman Bear Crawl;1232
Holman Bear Crawl to Donkey Kick;1233
Holman Bear Crawl to Froggy Push-Up;1234
Holman Bear Crawl to Shoulder Tap;1235
Holman Burpee to Tuck Jump;1251
Holman Burpee to Flying Squat Thrust to Tuck Jump;1247
Holman Forward Lunge to Reverse Lunge;1323
Holman Renegade Lunge Jump;1429
Holman Squat Jump to Lunge Jump;1492
Holman Prisoner Reverse Lunge;1423
Holman Wide-to-Narrow Squat Jump;1610
Holman Donkey Run;1274
Holman Weighted Wide-to-Narrow Squat Jump;1605
Holman Wide-to-Narrow Donkey Kick;1609
Holman Mule Kick;1404
Holman Goal Post to Squat;1328
Holman Frogger Squat to Heel Click;1325
Holman Stair Sprint;1510
Holman Stair Bear Crawl;1508
Holman Burpee to Flying Squat Thrust;1246
Holman Flying Squat Thrust to Push-Up;1317
Holman Foot-Elevated Step-To-Lunge;1321
Holman Split Lunge;1488
Holman Stair Climb;1509
Holman Burpee to Flying Jack;1245
Holman Right Reverse Lunge;1454
Holman Left Reverse Lunge;1390
Holman Squat Tap to Hop;1497
Holman Squat Tap to Jump-Forward-Jump-Back;1498
Holman Squat Hip Drive;1489
Holman Alternating Double Lunge Hop;1215
Holman Right Reverse Lunge to Front Kick;1456
Holman Right Leg Forward Lunge Hop;1449
Holman Right Squat Thrust;1462
Holman Left Reverse Lunge to Front Kick;1392
Holman Left Leg Forward Lunge Hop;1385
Holman Left Side Diagonal Burpee;1393
Holman Left Squat Thrust;1398
Holman Wide Squat Thrust;1608
Holman Alternating Single-Leg Hop to Squat to 180 Jump;1225
Holman Right Lunge Hop to Chest Press;1451
Holman Left Lunge Hop to Overhead Press;1387
Holman 180 Jump Hop Forward Hop Back;1205
Holman Right Split Squat;1461
Holman Left Split Squat;1397
Holman Double Squat Pulse to 180 Jump;1275
Holman Towel Left Side Squat;1552
Holman Alternating Lunge Jump;1221
Holman Lunge Jump to Squat Jump;1402
Holman Burpee with Belly Touch;1252
Bootstrapper squat;444
Total Fitness Broad Jump;2692
Total Fitness Lateral Lunge;2700
Lateral shuffle;1781
Total Fitness Skip;2703
Total Fitness Spider Lunge;2705
Spider lunge stretch;2493
Spider lunge with T-rotation;2494
Standing quad stretch;2583
Vertical jump;2821
King Maker Burpee;1730
King Maker Explosive High Jump;1734
Muscle Beach Skip;1979
Muscle Beach Broad Jump;1975
Muscle Beach Sprint;1981
Muscle Beach Front Kick;1977
Muscle Beach Side Kick;1978
Muscle Beach Spin Kick;1980
Muscle Beach Freestyle Kick;1976
MetaBurn Alternating Curtsy Lunge To Squat;1900
MetaBurn Alternating Curtsy Lunge With High Knee;1901
MetaBurn Alternating Diagonal Sprawl;1902
MetaBurn Alternating Lateral Sprawl;1905
MetaBurn Curtsy Lunge;1913
MetaBurn Frogger;1922
MetaBurn High Knee Rotation;1925
MetaBurn Side-To-Side Lunge;1950
MetaBurn Star Jump;1960
MetaBurn Tuck Jump With Knee Slap;1966
MetaBurn Lateral Bounding Hop;1928
MetaBurn Double Lunge;1914
Robertson Sprinter Step-Up;2193
FYR2 Front Kick-Through;870
Lunge high-knee clap;1816
FYR2 Plyo Split Squat;906
FYR2 Reverse Burpee;910
FYR2 Reverse Burpee to Regular Burpee;912
FYR2 Reverse Burpee Tuck Jump;911
FYR2 Sprawlee;926
FYR2 Squat Hold;927
FYR2 Squat Jump;928
FYR2 Squat Pulse;929
Sprinter burpee;2505
Shuttle run training;2298
Seated Front Deltoid;2241
Handstand push-up;1166
Upward Stretch;2815
Medicine ball ninja;1889
FYR Air Ball Plus Medicine Ball Jumping Sprawl;785
Medicine ball cowboy squat;1885
Medicine ball jumping jill;1888
Wall ball toss;2830
Exercise ball Bulgarian split squat;768
Band Pull Apart;289
FYR Band Pull-Apart;788
HM Lateral Raise;1074
Rusin Banded Over-And-Back;2214
Rusin Banded Face Pull;2213
UP Band Pull-Apart;2785
Jordan Shallow Band-Resisted Thread the Needle;1675
30 Shoulders Seated Banded Barbell Shoulder Press;162
Band shoulder press;305
Band lateral raise;297
Band upright row;310
Staggered-stance band shoulder press;2519
Single-arm banded landmine press;2343
Band front raise rear fly row combo;294
Jordan Shallow Foam Roller Thoracic Extension;1677
Jordan Shallow Thread the Needle (with Foam Roller);1678
Clean and press;544
Clean and jerk;543
Military press;1970
Seated barbell shoulder press;2263
Standing Bradford press;2526
Barbell Shoulder Press;345
Barbell rear delt bent-over row;372
Barbell upright row;385
Lying rear delt fly;1854
Machine Shoulder (Military) Press;1862
Standing Barbell Press Behind Neck;2522
Barbell front raise;363
Overhead bar front raise;2032
Incline barbell shoulder protraction;1643
Behind-the-head push-press;398
Seated EZ-bar shrug;2240
Paul Carter Barbell Seated Military Press;2065
TBS Barbell Military Press;2645
Incline Front Barbell Raise - Gethin Variation;1634
Barbell Front Raise - Gethin Variation;336
Single-arm barbell lateral raise;2345
AM Upright Row;220
AM Barbell Shoulder Press;194
Standing barbell shoulder press;2560
King Maker Barbell Thruster;1729
Single-arm incline cable cross-over;2370
Barbell bear complex;353
30 Shoulders Barbell Shrug;144
30 Shoulders Incline Face-Up Straight-Bar Front Raise;156
30 Shoulders Seated Dumbbell Shoulder Press;164
30 Shoulders Standing Behind-The-Head Shoulder Press;172
30 Shoulders Standing Barbell Press;171
FYR2 Wide Overhead Press;933
Single-arm kettlebell push-press;2381
Single-arm kettlebell snatch;2384
Single-arm kettlebell clean and jerk;2378
Kettlebell pirate ship;1714
Double Kettlebell Push Press;625
Double-kettlebell windmill;636
FYR Kettlebell Power Clean;811
Kettlebell upright row;1724
Kettlebell upright row and press;1725
Single-arm kettlebell thruster;2386
Double-kettlebell shoulder press;635
Double-kettlebell push-press;634
HM Kettlebell Windmill;1070
HM Kettlebell Z-Press;1071
Taylor Half-Kneeling Kettlebell Halo;2672
Taylor Towel Kettlebell Farmer's Walk;2679
FYR2 Double-Kettlebell Alternating Press;847
FYR2 Double-Kettlebell Thruster;854
FYR2 Half-Kneeling Kettlebell Clean;872
FYR2 Kettlebell Clean and Press;874
FYR2 Kettlebell High Pull to Overhead Press;881
FYR2 Kettlebell Swing Clean and Press;890
FYR2 Single-Arm Kettlebell Press;918
FYR2 Ascending-Rep High-Pull-Press Complex;838
Dumbbell front raise to lateral raise;706
Single-arm palm-in dumbbell shoulder press;2396
Standing palms-in shoulder press;2582
Seated Dumbbell Press;2239
Standing dumbbell shoulder press;2573
Single-arm lateral raise;2391
Incline dumbbell reverse fly;1655
Overhead dumbbell front raise;2034
Seated dumbbell shoulder press;2270
Alternating standing shoulder press;259
Single-arm incline rear delt raise;2374
Alternating dumbbell front raise;247
