Title;Title_cat
Reverse Flyes With External Rotation;2166
Dumbbell Scaption;681
See-Saw Press (Alternating Side Press);2283
Dumbbell Incline Shoulder Raise;675
Dumbbell Clean And Jerk;646
Circus Bell;537
Crucifix;581
Bar shoulder extension stretch;325
Chair Upper Body Stretch;527
Sled Overhead Backward Walk;2436
Log Lift;1806
Cable Internal Rotation;483
Cable Shoulder Press;491
Alternating Cable Shoulder Press;237
Plank Fire Hydrants;2088
Backward Medicine Ball Throw;284
Standing Two-Arm Overhead Throw;2554
Decline Close-Grip Bench To Skull Crusher;594
Bench Press with Chains;406
Floor Press;948
One Arm Floor Press;2004
Pin Presses;2085
JM Press With Bands;1669
JM Press;1668
Floor Press with Chains;949
Reverse Band Bench Press;2157
Decline Dumbbell Triceps Extension;598
One Arm Pronated Dumbbell Triceps Extension;2005
One Arm Supinated Dumbbell Triceps Extension;2006
Seated Bent-Over Two-Arm Dumbbell Triceps Extension;2227
Tate Press;2669
Seated Bent-Over One-Arm Dumbbell Triceps Extension;2226
Dumbbell Tricep Extension -Pronated Grip;687
Chain Handle Extension;524
Sled Overhead Triceps Extension;2437
Suspended Triceps Press;2630
Low Cable Triceps Extension;1809
Banded jumping jack;322
Shin hug;2286
Supine Chest Throw;2622
Lying Close-Grip Barbell Triceps Press To Chin;1824
Partner plank band row;2056
Banded crunch isometric hold;319
FYR Banded Plank Jack;789
Banded crunch;318
Crunch;582
Decline band press sit-up;603
FYR2 Banded Frog Pump;841
Band low-to-high twist;298
Barbell roll-out;374
Barbell Ab Rollout - On Knees;327
Decline bar press sit-up;604
Seated bar twist;2262
Single-arm landmine pull and press;2389
Barbell Ab Roll Out - Gethin Variation;326
30 Barbell Floor Wiper;73
30 Barbell Roll-Out;74
Decline plate sit-up;613
KV Barbell Hip Thrust;1690
Kettlebell Windmill;1705
Kettlebell 3-point leg extension;1696
Double Kettlebell Swing;627
Burpee over kettlebell;470
Kettlebell toe-touch;1723
Kettlebell swing;1720
Two-way swing;2731
Kettlebell crab reach;1709
Taylor Single-Arm Kettlebell Swing;2678
Holman Kettlebell Up to Elbow Down;1370
FYR2 Double-Kettlebell Ski;851
FYR2 Kettlebell Hike;882
FYR2 Kettlebell Cross-Body Catch;875
FYR2 Kettlebell Duck Walk;876
FYR2 Kettlebell Get-Up Reach;877
FYR2 Kettlebell Juggle;883
FYR2 Squat-Clean-Alternating-Press Complex;930
Dumbbell V-Sit Cross Jab;688
Dumbbell side bend;733
Dumbbell crunch;698
Dumbbell Fix Dumbbell Sprawl;662
Dumbbell Fix Alternating Renegade Row;649
Dumbbell Fix Dumbbell Mountain Climber;656
Dumbbell Fix Dumbbell Russian Twist;658
Dumbbell Fix Dumbbell Pull-Over;657
Dumbbell Fix Dumbbell Sit-Up;660
Dumbbell Fix Dumbbell Front Squat;654
Dumbbell Fix Full Man Maker;664
Dumbbell T-hold;686
Dumbbell hollow-body floor press;710
Dumbbell crusher;699
Dumbbell Crunch - Gethin Variation;647
Single-arm dumbbell crunch;2358
HM Alternating Dumbbell Plank Row;994
Dumbbell straight-legged hip raise;743
Seated leg tuck with dumbbell;2276
Dumbbell V-sit cross jab-;689
30 Hanging Leg Raise With Dumbbell;112
Holman Right Side Plank with Left Triceps Press;1459
Holman Left Side Plank with Right Triceps Press;1395
Holman Boat with Feet Push-Out and Overhead Press;1241
Holman Hovering Plank Row;1359
Holman Weighted Seated Killer Abs to Russian Twist;1599
Holman Straight Plank Dumbbell Reach-Under;1519
Holman Straight-Arm Side Plank Overhead Press to Chest Press;1535
Holman Weighted Burpee to Pike;1573
Holman Straight-Legged Boat Chest Press;1538
Holman Weighted Burpee to Side Delt Raise;1576
Holman Heavy Double Pike;1343
Holman Heavy Double Split Pike;1344
MetaBurn Alternating Dumbbell Sit-Through;1903
MetaBurn Alternating Plank Row With Dumbbell Pull-Through;1906
MetaBurn Alternating Plank Row With Push-Up;1907
MetaBurn Dumbbell Russian Twist;1918
MetaBurn Dumbbell Toe-Touch;1919
MetaBurn Plank To Alternating Row;1932
Standing dumbbell knee crunch-;2572
MetaBurn Plank With Dumbbell Rotation;1937
FYR2 Dumbbell Crab Reach;857
FYR2 Dumbbell Man-Maker;865
FYR2 Dumbbell Sit-Up Reach;866
FYR2 Loaded Beast Sprawl;897
FYR2 Loaded to Unloaded Beast;898
Lying Leg Pullover;1833
Landmine twist;1769
Suspended ab fall-out;2631
Decline reverse crunch;615
Weighted Crunches;2841
Ab Roller;223
Otis-Up;2025
Captain's chair knee raise;517
Sledgehammer swing;2442
Decline bar press sit-up;604
Pallof press;2038
Weighted Sit-Ups - With Bands;2844
Suitcase crunch;2613
FYR Rope Jumping;821
Barbell press sit-up;370
Single-arm bent-over rear delt fly;2348
Captain's chair leg raise;518
Shoulder-Elevated One-Leg Hip Thrusts;2296
Ab Twist - Gethin Variation;224
Weighted Crunch - Gethin Variation;2840
Ab Wheel Roll-Out - Gethin Variation;225
Bench crunch;408
Decline plate sit-up twist;614
Reverse ab roll-out;2172
30 Seated Twist With PVC Pipe;141
Suspended crunch-;2632
Suspended oblique crunch;2633
Weighted sit-up;2851
30 Decline Press Sit-Up;107
Holman Towel Reverse Plank Alternating Heel Pull-in;1553
Holman Boat with Weighted Cross Punch;1242
Holman Weighted Hook Punch;1583
Holman Weighted Traveling Punch;1602
Holman Weighted Uppercut Punch;1603
Holman Slow Weighted Double Pike;1484
Holman Plate Straight Plank Reach;1420
Holman Plate Elbow Plank Jack to Straight Plank Jack;1414
Holman Plate Hill Climber;1416
Holman Plate Reverse Plank Hill Climber;1418
Holman Plate Straight Plank Pike to Jack;1419
Holman Plate In-and-Out Push-Up;1417
Holman Plate Burpee;1412
Holman Plate Elbow Plank Reach;1415
Holman Elbow Plank to Renegade Row;1290
Holman Straight Plank Weighted Hand Hill Climber;1529
Holman Weighted Left Side Diagonal Pike;1587
Holman Weighted Right Side Diagonal Pike;1598
Holman Weighted W-Boat to Overhead Press;1604
Holman Weighted Kneeling Lift;1586
Holman Hips-Up Weighted Pull-Over;1357
Holman Weighted Cross Punch;1578
Holman Straight-Leg Boat Hover Chest Press;1536
Holman Weighted Pike;1595
Holman Feet-Elevated Wax-On Wax-Off;1315
Holman Elbow Plank to Towel Pike;1292
Holman Seated Killer Abs Overhead Press;1467
Holman Straight Plank Alternating Weighted Open;1517
Holman Weighted Killer Abs with Overhead Press;1585
Holman Weighted Split-Leg Pike;1600
Holman Towel Reverse Plank Heel Pull-in;1554
Stick Twist;2591
Roc Everest;2194
Standing cable low-to-high twist;2565
Single-arm high-cable side bend;2369
Kneeling cable oblique crunch;1758
Kneeling cable crunch;1757
Rope Crunch;2204
Standing cable crunch;2562
Standing Cable Wood Chop;2530
Pallof press with rotation;2039
Exercise Ball Cable Crunch - Gethin Variation;765
Standing cable high-to-low twist;2563
Bent-Over Reverse Cable Fly;419
Standing Cable Crunch - Gethin Variation;2528
AM Cable Crunch;198
Tyler Holt Weighted Knee-To-Chest Crunch;2737
Standing cable twist;2567
30 Cable Rope Crunch;79
30 Cable Rope Oblique Crunch;80
Cable lying twist on ball;497
30 Cable Pallof Press;76
30 Cable Reverse Crunch On Ball;78
30 Cable Reverse Crunch;77
Tyler Holt Cable Torso Twist;2732
Single-Arm Cable Outward-Facing Biceps Curl;2326
Biceps Rope Curl;430
Kneeling Cable Crunches;1753
Ab Crunch Machine;222
Smith machine straight-legged hip raise;2477
Machine crunch;1870
AM Ab Machine;191
Smith machine V-up;2453
FYR Bear Crawl Fire Feet;790
Bear crawl up-down;395
FYR Crab Kick;794
Bear crawl hold;391
Traveling bear crawl;2713
Single-leg V-up;2408
FYR Bear Crawl Shoulder Tap;791
Alternating single-leg sprawl;254
Wide mountain climber;2853
Plank leg raise;2092
Glute bridge step-out;977
Knee up-down;1749
FYR Sprawl;825
Reach crunch;2152
FYR Push-Up Plank Hold;820
FYR Hollow-Body Rock;809
V-up plus knee-to-chest combo;2818
Side plank lateral raise;2315
Superhero burpee;2618
Hollow-body abduction;1201
FYR Hollow Hold;808
Tip-toe crunch;2686
Knee-to-nose pulse;1751
Plank walk-out;2095
FYR V-Up;831
Long sit-up;1807
FYR Breakdancer;793
Seated leg lift;2274
Gorilla burpee;985
Knee-in to V-out;1750
Bear crawl push-up;392
FYR Front Step;805
Plank reach;2093
Eiffel Tower leg raise;759
Straight-arm plank;2606
Plank up-down;2094
Frog kick;959
FYR Knees to Chest;815
Front kick-through;968
FYR Sit-Up;824
FYR Leg Lift;816
TBS Toes-to-bar;2666
FYR Mountain Climber;817
Roman Chair Side Ups;2199
Push-Up Roll Out - Gethin Variation;2129
Cross-Body Crunch - Gethin Variation;572
Decline leg lift with twist;612
Hanging Leg Raise - Variation Gethin;1173
Butterfly crunch;475
Cross-body mountain climber;574
Flat Bench Lying Leg Raise - Gethin Variation;946
Lying leg lift;1850
Hanging alternating single-leg raise;1176
Plank Walk;2091
Sit-Up - Gethin Variation;2428
Plank Push-Up;2089
Decline crunch-;606
Alternating lying leg raise;253
Decline leg lift;611
Crunch - Gethin Variation;583
